player,season,award,first_place_votes,award_pts_won,award_pts_max
Mike Conley,2012,dpoy,0.0,2.0,605
Grant Hill,2012,dpoy,0.0,2.0,605
Iman Shumpert,2012,dpoy,0.0,2.0,605
Greg Monroe,2012,dpoy,0.0,1.0,605
Dwyane Wade,2012,dpoy,0.0,1.0,605
Russell Westbrook,2012,dpoy,0.0,1.0,605
James Harden,2012,smoy,115.0,584.0,595
Lou Williams,2012,smoy,3.0,231.0,595
Jason Terry,2012,smoy,0.0,81.0,595
Al Harrington,2012,smoy,0.0,42.0,595
Taj Gibson,2012,smoy,1.0,28.0,595
Manu Ginóbili,2012,smoy,0.0,28.0,595
O.J. Mayo,2012,smoy,0.0,18.0,595
Mo Williams,2012,smoy,0.0,14.0,595
Thaddeus Young,2012,smoy,0.0,10.0,595
Kyle Korver,2012,smoy,0.0,4.0,595
Jamal Crawford,2012,smoy,0.0,3.0,595
Carl Landry,2012,smoy,0.0,3.0,595
Zach Randolph,2012,smoy,0.0,3.0,595
C.J. Watson,2012,smoy,0.0,3.0,595
Mike Dunleavy,2012,smoy,0.0,2.0,595
Tyler Hansbrough,2012,smoy,0.0,2.0,595
Gary Neal,2012,smoy,0.0,2.0,595
George Hill,2012,smoy,0.0,1.0,595
Andre Miller,2012,smoy,0.0,1.0,595
J.R. Smith,2012,smoy,0.0,1.0,595
Ryan Anderson,2012,mip,33.0,260.0,605
Ersan İlyasova,2012,mip,21.0,159.0,605
Nikola Peković,2012,mip,10.0,104.0,605
Andrew Bynum,2012,mip,14.0,101.0,605
Greg Monroe,2012,mip,10.0,96.0,605
Jeremy Lin,2012,mip,10.0,91.0,605
Goran Dragić,2012,mip,4.0,54.0,605
Avery Bradley,2012,mip,4.0,36.0,605
Danny Green,2012,mip,3.0,27.0,605
Jeff Teague,2012,mip,1.0,27.0,605
Serge Ibaka,2012,mip,2.0,16.0,605
Ty Lawson,2012,mip,1.0,16.0,605
Paul George,2012,mip,2.0,13.0,605
Steve Novak,2012,mip,1.0,12.0,605
DeMarcus Cousins,2012,mip,0.0,11.0,605
Kevin Love,2012,mip,1.0,8.0,605
James Harden,2012,mip,0.0,7.0,605
Roy Hibbert,2012,mip,0.0,7.0,605
Marcin Gortat,2012,mip,1.0,6.0,605
Gerald Henderson,2012,mip,1.0,6.0,605
Marc Gasol,2012,mip,1.0,5.0,605
Kyle Lowry,2012,mip,1.0,5.0,605
Gordon Hayward,2012,mip,0.0,4.0,605
Arron Afflalo,2012,mip,0.0,3.0,605
Tony Parker,2012,mip,0.0,3.0,605
C.J. Watson,2012,mip,0.0,3.0,605
Brandan Wright,2012,mip,0.0,3.0,605
Jarrett Jack,2012,mip,0.0,1.0,605
Marreese Speights,2012,mip,0.0,1.0,605
LeBron James,2013,mvp,120.0,1207.0,1210
Kevin Durant,2013,mvp,0.0,765.0,1210
Carmelo Anthony,2013,mvp,1.0,475.0,1210
Chris Paul,2013,mvp,0.0,289.0,1210
Kobe Bryant,2013,mvp,0.0,184.0,1210
Tony Parker,2013,mvp,0.0,86.0,1210
Tim Duncan,2013,mvp,0.0,65.0,1210
James Harden,2013,mvp,0.0,33.0,1210
Russell Westbrook,2013,mvp,0.0,9.0,1210
Dwyane Wade,2013,mvp,0.0,5.0,1210
Stephen Curry,2013,mvp,0.0,3.0,1210
Kevin Garnett,2013,mvp,0.0,1.0,1210
Marc Gasol,2013,mvp,0.0,1.0,1210
Ty Lawson,2013,mvp,0.0,1.0,1210
David Lee,2013,mvp,0.0,1.0,1210
Joakim Noah,2013,mvp,0.0,1.0,1210
Damian Lillard,2013,roy,121.0,605.0,605
Anthony Davis,2013,roy,0.0,306.0,605
Bradley Beal,2013,roy,0.0,94.0,605
Andre Drummond,2013,roy,0.0,36.0,605
Dion Waiters,2013,roy,0.0,21.0,605
Harrison Barnes,2013,roy,0.0,8.0,605
Chris Copeland,2013,roy,0.0,8.0,605
Michael Kidd-Gilchrist,2013,roy,0.0,3.0,605
Jonas Valančiūnas,2013,roy,0.0,2.0,605
John Jenkins,2013,roy,0.0,1.0,605
Marc Gasol,2013,dpoy,30.0,212.0,605
LeBron James,2013,dpoy,18.0,149.0,605
Serge Ibaka,2013,dpoy,14.0,122.0,605
Joakim Noah,2013,dpoy,13.0,107.0,605
Tony Allen,2013,dpoy,9.0,102.0,605
Tim Duncan,2013,dpoy,11.0,94.0,605
Larry Sanders,2013,dpoy,4.0,90.0,605
Paul George,2013,dpoy,8.0,57.0,605
Andre Iguodala,2013,dpoy,5.0,43.0,605
Roy Hibbert,2013,dpoy,3.0,36.0,605
Chris Paul,2013,dpoy,2.0,19.0,605
Avery Bradley,2013,dpoy,2.0,15.0,605
Tyson Chandler,2013,dpoy,0.0,11.0,605
Dwight Howard,2013,dpoy,1.0,9.0,605
Luol Deng,2013,dpoy,1.0,6.0,605
Dwyane Wade,2013,dpoy,0.0,4.0,605
Trevor Ariza,2013,dpoy,0.0,3.0,605
Jimmy Butler,2013,dpoy,0.0,3.0,605
Kenneth Faried,2013,dpoy,0.0,3.0,605
Russell Westbrook,2013,dpoy,0.0,3.0,605
Mike Conley,2013,dpoy,0.0,1.0,605
J.R. Smith,2013,smoy,72.0,484.0,605
Jamal Crawford,2013,smoy,31.0,352.0,605
Jarrett Jack,2013,smoy,14.0,170.0,605
Kevin Martin,2013,smoy,2.0,31.0,605
Ryan Anderson,2013,smoy,1.0,11.0,605
Andre Miller,2013,smoy,0.0,7.0,605
Jordan Crawford,2013,smoy,1.0,5.0,605
Corey Brewer,2013,smoy,0.0,4.0,605
Manu Ginóbili,2013,smoy,0.0,4.0,605
Carl Landry,2013,smoy,0.0,4.0,605
Nate Robinson,2013,smoy,0.0,4.0,605
Shane Battier,2013,smoy,0.0,2.0,605
Ramon Sessions,2013,smoy,0.0,2.0,605
Luke Babbitt,2013,smoy,0.0,1.0,605
Vince Carter,2013,smoy,0.0,1.0,605
Gordon Hayward,2013,smoy,0.0,1.0,605
J.J. Redick,2013,smoy,0.0,1.0,605
Paul George,2013,mip,52.0,311.0,600
Greivis Vásquez,2013,mip,13.0,146.0,600
Larry Sanders,2013,mip,10.0,141.0,600
Nikola Vučević,2013,mip,10.0,109.0,600
Jrue Holiday,2013,mip,10.0,102.0,600
Ömer Aşık,2013,mip,9.0,86.0,600
James Harden,2013,mip,8.0,53.0,600
Stephen Curry,2013,mip,1.0,18.0,600
Serge Ibaka,2013,mip,1.0,15.0,600
Chandler Parsons,2013,mip,0.0,14.0,600
Kemba Walker,2013,mip,0.0,9.0,600
J.R. Smith,2013,mip,1.0,8.0,600
Klay Thompson,2013,mip,1.0,8.0,600
Jimmy Butler,2013,mip,0.0,7.0,600
Ryan Anderson,2013,mip,1.0,5.0,600
Carmelo Anthony,2013,mip,1.0,5.0,600
Andray Blatche,2013,mip,1.0,5.0,600
Mike Conley,2013,mip,1.0,5.0,600
Kawhi Leonard,2013,mip,0.0,5.0,600
Kevin Durant,2013,mip,0.0,4.0,600
Arron Afflalo,2013,mip,0.0,3.0,600
Earl Clark,2013,mip,0.0,3.0,600
Kenneth Faried,2013,mip,0.0,3.0,600
Greg Monroe,2013,mip,0.0,3.0,600
Joakim Noah,2013,mip,0.0,3.0,600
Tristan Thompson,2013,mip,0.0,2.0,600
Tobias Harris,2013,mip,0.0,1.0,600
Jarrett Jack,2013,mip,0.0,1.0,600
Ty Lawson,2013,mip,0.0,1.0,600
Brook Lopez,2013,mip,0.0,1.0,600
Robin Lopez,2013,mip,0.0,1.0,600
Lance Stephenson,2013,mip,0.0,1.0,600
Jeff Teague,2013,mip,0.0,1.0,600
Kevin Durant,2014,mvp,119.0,1232.0,1250
LeBron James,2014,mvp,6.0,891.0,1250
Blake Griffin,2014,mvp,0.0,434.0,1250
Joakim Noah,2014,mvp,0.0,322.0,1250
James Harden,2014,mvp,0.0,85.0,1250
Stephen Curry,2014,mvp,0.0,66.0,1250
Chris Paul,2014,mvp,0.0,45.0,1250
Al Jefferson,2014,mvp,0.0,34.0,1250
Paul George,2014,mvp,0.0,33.0,1250
LaMarcus Aldridge,2014,mvp,0.0,26.0,1250
Kevin Love,2014,mvp,0.0,25.0,1250
Tim Duncan,2014,mvp,0.0,21.0,1250
Tony Parker,2014,mvp,0.0,21.0,1250
Dirk Nowitzki,2014,mvp,0.0,7.0,1250
Carmelo Anthony,2014,mvp,0.0,4.0,1250
Goran Dragić,2014,mvp,0.0,3.0,1250
Mike Conley,2014,mvp,0.0,1.0,1250
Michael Carter-Williams,2014,roy,104.0,569.0,620
Victor Oladipo,2014,roy,16.0,364.0,620
Trey Burke,2014,roy,1.0,96.0,620
Mason Plumlee,2014,roy,2.0,58.0,620
Tim Hardaway,2014,roy,1.0,23.0,620
Gorgui Dieng,2014,roy,0.0,3.0,620
Steven Adams,2014,roy,0.0,1.0,620
Giannis Antetokounmpo,2014,roy,0.0,1.0,620
Nick Calathes,2014,roy,0.0,1.0,620
Joakim Noah,2014,dpoy,100.0,555.0,625
Roy Hibbert,2014,dpoy,8.0,166.0,625
DeAndre Jordan,2014,dpoy,8.0,121.0,625
Serge Ibaka,2014,dpoy,2.0,79.0,625
Andre Iguodala,2014,dpoy,1.0,47.0,625
LeBron James,2014,dpoy,2.0,31.0,625
Paul George,2014,dpoy,0.0,30.0,625
Anthony Davis,2014,dpoy,1.0,25.0,625
Dwight Howard,2014,dpoy,1.0,25.0,625
Andrew Bogut,2014,dpoy,1.0,11.0,625
Kawhi Leonard,2014,dpoy,0.0,9.0,625
P.J. Tucker,2014,dpoy,1.0,6.0,625
Tim Duncan,2014,dpoy,0.0,5.0,625
Chris Paul,2014,dpoy,0.0,5.0,625
Trevor Ariza,2014,dpoy,0.0,4.0,625
Marc Gasol,2014,dpoy,0.0,4.0,625
Patrick Beverley,2014,dpoy,0.0,2.0,625
Jamal Crawford,2014,smoy,57.0,421.0,625
Taj Gibson,2014,smoy,49.0,395.0,625
Manu Ginóbili,2014,smoy,9.0,138.0,625
Markieff Morris,2014,smoy,5.0,85.0,625
Reggie Jackson,2014,smoy,4.0,49.0,625
Vince Carter,2014,smoy,1.0,12.0,625
D.J. Augustin,2014,smoy,0.0,6.0,625
Enes Kanter,2014,smoy,0.0,3.0,625
Dion Waiters,2014,smoy,0.0,3.0,625
Nick Young,2014,smoy,0.0,3.0,625
Chris Andersen,2014,smoy,0.0,2.0,625
Marco Belinelli,2014,smoy,0.0,2.0,625
Andray Blatche,2014,smoy,0.0,1.0,625
Tim Hardaway,2014,smoy,0.0,1.0,625
Patty Mills,2014,smoy,0.0,1.0,625
Timofey Mozgov,2014,smoy,0.0,1.0,625
Greivis Vásquez,2014,smoy,0.0,1.0,625
Mo Williams,2014,smoy,0.0,1.0,625
Goran Dragić,2014,mip,65.0,408.0,630
Lance Stephenson,2014,mip,13.0,158.0,630
Anthony Davis,2014,mip,16.0,155.0,630
Gerald Green,2014,mip,16.0,117.0,630
DeAndre Jordan,2014,mip,4.0,66.0,630
Kyle Lowry,2014,mip,2.0,43.0,630
Blake Griffin,2014,mip,6.0,39.0,630
DeMar DeRozan,2014,mip,1.0,28.0,630
Patty Mills,2014,mip,0.0,14.0,630
Markieff Morris,2014,mip,1.0,13.0,630
Isaiah Thomas,2014,mip,0.0,13.0,630
Shaun Livingston,2014,mip,0.0,11.0,630
D.J. Augustin,2014,mip,1.0,9.0,630
Reggie Jackson,2014,mip,0.0,8.0,630
Robin Lopez,2014,mip,0.0,6.0,630
Klay Thompson,2014,mip,0.0,6.0,630
Kevin Durant,2014,mip,1.0,5.0,630
DeMarcus Cousins,2014,mip,0.0,5.0,630
Al Jefferson,2014,mip,0.0,4.0,630
Bradley Beal,2014,mip,0.0,3.0,630
Mike Conley,2014,mip,0.0,3.0,630
Andre Drummond,2014,mip,0.0,3.0,630
Taj Gibson,2014,mip,0.0,3.0,630
LeBron James,2014,mip,0.0,3.0,630
Terrence Jones,2014,mip,0.0,3.0,630
Jodie Meeks,2014,mip,0.0,3.0,630
LaMarcus Aldridge,2014,mip,0.0,1.0,630
Alec Burks,2014,mip,0.0,1.0,630
Paul Millsap,2014,mip,0.0,1.0,630
Chandler Parsons,2014,mip,0.0,1.0,630
John Wall,2014,mip,0.0,1.0,630
Stephen Curry,2015,mvp,100.0,1198.0,1300
James Harden,2015,mvp,25.0,936.0,1300
LeBron James,2015,mvp,5.0,552.0,1300
Russell Westbrook,2015,mvp,0.0,352.0,1300
Anthony Davis,2015,mvp,0.0,203.0,1300
Chris Paul,2015,mvp,0.0,124.0,1300
LaMarcus Aldridge,2015,mvp,0.0,6.0,1300
Marc Gasol,2015,mvp,0.0,3.0,1300
Blake Griffin,2015,mvp,0.0,3.0,1300
Tim Duncan,2015,mvp,0.0,1.0,1300
Kawhi Leonard,2015,mvp,0.0,1.0,1300
Klay Thompson,2015,mvp,0.0,1.0,1300
Andrew Wiggins,2015,roy,110.0,604.0,650
Nikola Mirotić,2015,roy,14.0,335.0,650
Nerlens Noel,2015,roy,3.0,141.0,650
Elfrid Payton,2015,roy,3.0,79.0,650
Marcus Smart,2015,roy,0.0,6.0,650
Jusuf Nurkić,2015,roy,0.0,3.0,650
Jordan Clarkson,2015,roy,0.0,2.0,650
Kawhi Leonard,2015,dpoy,37.0,333.0,645
Draymond Green,2015,dpoy,45.0,317.0,645
DeAndre Jordan,2015,dpoy,32.0,261.0,645
Anthony Davis,2015,dpoy,11.0,107.0,645
Rudy Gobert,2015,dpoy,2.0,33.0,645
Andrew Bogut,2015,dpoy,0.0,31.0,645
Tony Allen,2015,dpoy,1.0,29.0,645
Tim Duncan,2015,dpoy,1.0,12.0,645
Michael Kidd-Gilchrist,2015,dpoy,0.0,9.0,645
Jimmy Butler,2015,dpoy,0.0,7.0,645
Marc Gasol,2015,dpoy,0.0,7.0,645
Joakim Noah,2015,dpoy,0.0,4.0,645
Trevor Ariza,2015,dpoy,0.0,3.0,645
LeBron James,2015,dpoy,0.0,3.0,645
Patrick Beverley,2015,dpoy,0.0,1.0,645
DeMarre Carroll,2015,dpoy,0.0,1.0,645
Nerlens Noel,2015,dpoy,0.0,1.0,645
Chris Paul,2015,dpoy,0.0,1.0,645
Hassan Whiteside,2015,dpoy,0.0,1.0,645
Lou Williams,2015,smoy,78.0,502.0,650
Isaiah Thomas,2015,smoy,33.0,324.0,650
Jamal Crawford,2015,smoy,8.0,131.0,650
Andre Iguodala,2015,smoy,7.0,100.0,650
Tristan Thompson,2015,smoy,0.0,33.0,650
Nikola Mirotić,2015,smoy,1.0,24.0,650
Marreese Speights,2015,smoy,1.0,20.0,650
Corey Brewer,2015,smoy,1.0,12.0,650
Manu Ginóbili,2015,smoy,0.0,12.0,650
Taj Gibson,2015,smoy,1.0,8.0,650
Aaron Brooks,2015,smoy,0.0,1.0,650
Chris Kaman,2015,smoy,0.0,1.0,650
Anthony Morrow,2015,smoy,0.0,1.0,650
Dennis Schröder,2015,smoy,0.0,1.0,650
Jimmy Butler,2015,mip,92.0,535.0,645
Draymond Green,2015,mip,11.0,200.0,645
Rudy Gobert,2015,mip,12.0,189.0,645
Hassan Whiteside,2015,mip,5.0,88.0,645
Klay Thompson,2015,mip,2.0,42.0,645
Anthony Davis,2015,mip,4.0,27.0,645
Giannis Antetokounmpo,2015,mip,1.0,22.0,645
Donatas Motiejūnas,2015,mip,0.0,7.0,645
Dennis Schröder,2015,mip,0.0,6.0,645
DeMarre Carroll,2015,mip,1.0,5.0,645
Tyler Zeller,2015,mip,1.0,5.0,645
DeMarcus Cousins,2015,mip,0.0,4.0,645
Khris Middleton,2015,mip,0.0,4.0,645
Jae Crowder,2015,mip,0.0,3.0,645
Kyrie Irving,2015,mip,0.0,3.0,645
DeAndre Jordan,2015,mip,0.0,3.0,645
Victor Oladipo,2015,mip,0.0,3.0,645
Kentavious Caldwell-Pope,2015,mip,0.0,2.0,645
Nikola Vučević,2015,mip,0.0,2.0,645
Robert Covington,2015,mip,0.0,1.0,645
Tyreke Evans,2015,mip,0.0,1.0,645
Derrick Favors,2015,mip,0.0,1.0,645
Marc Gasol,2015,mip,0.0,1.0,645
Tobias Harris,2015,mip,0.0,1.0,645
Gordon Hayward,2015,mip,0.0,1.0,645
George Hill,2015,mip,0.0,1.0,645
Enes Kanter,2015,mip,0.0,1.0,645
Brandon Knight,2015,mip,0.0,1.0,645
Kawhi Leonard,2015,mip,0.0,1.0,645
Meyers Leonard,2015,mip,0.0,1.0,645
Stephen Curry,2016,mvp,131.0,1310.0,1310
Kawhi Leonard,2016,mvp,0.0,634.0,1310
LeBron James,2016,mvp,0.0,631.0,1310
Russell Westbrook,2016,mvp,0.0,486.0,1310
Kevin Durant,2016,mvp,0.0,147.0,1310
Chris Paul,2016,mvp,0.0,107.0,1310
Draymond Green,2016,mvp,0.0,50.0,1310
Damian Lillard,2016,mvp,0.0,26.0,1310
James Harden,2016,mvp,0.0,9.0,1310
Kyle Lowry,2016,mvp,0.0,6.0,1310
Karl-Anthony Towns,2016,roy,130.0,650.0,650
Kristaps Porziņģis,2016,roy,0.0,363.0,650
Nikola Jokić,2016,roy,0.0,59.0,650
Devin Booker,2016,roy,0.0,49.0,650
Jahlil Okafor,2016,roy,0.0,34.0,650
Justise Winslow,2016,roy,0.0,7.0,650
Emmanuel Mudiay,2016,roy,0.0,4.0,650
Myles Turner,2016,roy,0.0,3.0,650
D'Angelo Russell,2016,roy,0.0,1.0,650
Kawhi Leonard,2016,dpoy,84.0,547.0,650
Draymond Green,2016,dpoy,44.0,421.0,650
Hassan Whiteside,2016,dpoy,2.0,83.0,650
DeAndre Jordan,2016,dpoy,0.0,50.0,650
Paul Millsap,2016,dpoy,0.0,21.0,650
Avery Bradley,2016,dpoy,0.0,14.0,650
Rudy Gobert,2016,dpoy,0.0,13.0,650
Tony Allen,2016,dpoy,0.0,5.0,650
Anthony Davis,2016,dpoy,0.0,4.0,650
Andre Drummond,2016,dpoy,0.0,3.0,650
Jimmy Butler,2016,dpoy,0.0,2.0,650
LeBron James,2016,dpoy,0.0,2.0,650
Trevor Ariza,2016,dpoy,0.0,1.0,650
Jae Crowder,2016,dpoy,0.0,1.0,650
Al Horford,2016,dpoy,0.0,1.0,650
Kyle Lowry,2016,dpoy,0.0,1.0,650
Chris Paul,2016,dpoy,0.0,1.0,650
Jamal Crawford,2016,smoy,51.0,341.0,650
Andre Iguodala,2016,smoy,33.0,288.0,650
Enes Kanter,2016,smoy,19.0,182.0,650
Will Barton,2016,smoy,15.0,158.0,650
Evan Turner,2016,smoy,3.0,46.0,650
Ryan Anderson,2016,smoy,4.0,43.0,650
Jeremy Lin,2016,smoy,1.0,30.0,650
Ed Davis,2016,smoy,1.0,21.0,650
Dennis Schröder,2016,smoy,1.0,17.0,650
Tristan Thompson,2016,smoy,2.0,16.0,650
Shaun Livingston,2016,smoy,0.0,7.0,650
J.J. Barea,2016,smoy,0.0,5.0,650
Boris Diaw,2016,smoy,0.0,5.0,650
Zach LaVine,2016,smoy,0.0,4.0,650
Darren Collison,2016,smoy,0.0,3.0,650
Allen Crabbe,2016,smoy,0.0,1.0,650
Jrue Holiday,2016,smoy,0.0,1.0,650
Patrick Patterson,2016,smoy,0.0,1.0,650
Mirza Teletović,2016,smoy,0.0,1.0,650
CJ McCollum,2016,mip,101.0,559.0,650
Kemba Walker,2016,mip,7.0,166.0,650
Giannis Antetokounmpo,2016,mip,4.0,99.0,650
Stephen Curry,2016,mip,7.0,83.0,650
Will Barton,2016,mip,1.0,62.0,650
Jae Crowder,2016,mip,1.0,45.0,650
Draymond Green,2016,mip,2.0,43.0,650
Isaiah Thomas,2016,mip,3.0,30.0,650
Hassan Whiteside,2016,mip,1.0,26.0,650
Kawhi Leonard,2016,mip,1.0,18.0,650
Andre Drummond,2016,mip,1.0,11.0,650
Gary Harris,2016,mip,1.0,6.0,650
Kent Bazemore,2016,mip,0.0,4.0,650
Evan Fournier,2016,mip,0.0,4.0,650
Rodney Hood,2016,mip,0.0,3.0,650
Reggie Jackson,2016,mip,0.0,3.0,650
Ian Mahinmi,2016,mip,0.0,3.0,650
Russell Westbrook,2016,mip,0.0,3.0,650
Zach LaVine,2016,mip,0.0,1.0,650
Kyle Lowry,2016,mip,0.0,1.0,650
Russell Westbrook,2017,mvp,69.0,888.0,1010
James Harden,2017,mvp,22.0,753.0,1010
Kawhi Leonard,2017,mvp,9.0,500.0,1010
LeBron James,2017,mvp,1.0,333.0,1010
Isaiah Thomas,2017,mvp,0.0,81.0,1010
Stephen Curry,2017,mvp,0.0,52.0,1010
Giannis Antetokounmpo,2017,mvp,0.0,7.0,1010
John Wall,2017,mvp,0.0,7.0,1010
Anthony Davis,2017,mvp,0.0,2.0,1010
Kevin Durant,2017,mvp,0.0,2.0,1010
DeMar DeRozan,2017,mvp,0.0,1.0,1010
Malcolm Brogdon,2017,roy,64.0,414.0,500
Dario Šarić,2017,roy,13.0,266.0,500
Joel Embiid,2017,roy,23.0,177.0,500
Buddy Hield,2017,roy,0.0,21.0,500
Willy Hernangómez,2017,roy,0.0,8.0,500
Jamal Murray,2017,roy,0.0,8.0,500
Marquese Chriss,2017,roy,0.0,3.0,500
Jaylen Brown,2017,roy,0.0,1.0,500
Yogi Ferrell,2017,roy,0.0,1.0,500
Rodney McGruder,2017,roy,0.0,1.0,500
Draymond Green,2017,dpoy,73.0,434.0,500
Rudy Gobert,2017,dpoy,16.0,269.0,500
Kawhi Leonard,2017,dpoy,11.0,182.0,500
Robert Covington,2017,dpoy,0.0,4.0,500
LeBron James,2017,dpoy,0.0,3.0,500
Andre Roberson,2017,dpoy,0.0,3.0,500
Hassan Whiteside,2017,dpoy,0.0,3.0,500
LaMarcus Aldridge,2017,dpoy,0.0,1.0,500
Patrick Beverley,2017,dpoy,0.0,1.0,500
Eric Gordon,2017,smoy,46.0,358.0,500
Andre Iguodala,2017,smoy,43.0,326.0,500
Lou Williams,2017,smoy,5.0,70.0,500
Zach Randolph,2017,smoy,2.0,46.0,500
James Johnson,2017,smoy,1.0,25.0,500
Greg Monroe,2017,smoy,1.0,21.0,500
Jamal Crawford,2017,smoy,1.0,20.0,500
Enes Kanter,2017,smoy,1.0,14.0,500
Patty Mills,2017,smoy,0.0,14.0,500
Tim Hardaway,2017,smoy,0.0,3.0,500
Malcolm Brogdon,2017,smoy,0.0,1.0,500
Vince Carter,2017,smoy,0.0,1.0,500
Tyler Johnson,2017,smoy,0.0,1.0,500
Giannis Antetokounmpo,2017,mip,80.0,428.0,500
Nikola Jokić,2017,mip,14.0,161.0,500
Rudy Gobert,2017,mip,1.0,113.0,500
Otto Porter,2017,mip,1.0,43.0,500
Isaiah Thomas,2017,mip,0.0,35.0,500
James Johnson,2017,mip,1.0,34.0,500
Bradley Beal,2017,mip,1.0,19.0,500
Devin Booker,2017,mip,1.0,18.0,500
Tim Hardaway,2017,mip,0.0,14.0,500
Mike Conley,2017,mip,1.0,5.0,500
Dion Waiters,2017,mip,0.0,4.0,500
Gordon Hayward,2017,mip,0.0,3.0,500
Jusuf Nurkić,2017,mip,0.0,3.0,500
Kristaps Porziņģis,2017,mip,0.0,3.0,500
Dennis Schröder,2017,mip,0.0,3.0,500
Harrison Barnes,2017,mip,0.0,2.0,500
Seth Curry,2017,mip,0.0,2.0,500
Gary Harris,2017,mip,0.0,2.0,500
Myles Turner,2017,mip,0.0,2.0,500
Avery Bradley,2017,mip,0.0,1.0,500
Clint Capela,2017,mip,0.0,1.0,500
DeMar DeRozan,2017,mip,0.0,1.0,500
Joe Ingles,2017,mip,0.0,1.0,500
John Wall,2017,mip,0.0,1.0,500
Hassan Whiteside,2017,mip,0.0,1.0,500
James Harden,2018,mvp,86.0,965.0,1010
LeBron James,2018,mvp,15.0,738.0,1010
Anthony Davis,2018,mvp,0.0,445.0,1010
Damian Lillard,2018,mvp,0.0,207.0,1010
Russell Westbrook,2018,mvp,0.0,76.0,1010
Giannis Antetokounmpo,2018,mvp,0.0,75.0,1010
Kevin Durant,2018,mvp,0.0,66.0,1010
DeMar DeRozan,2018,mvp,0.0,32.0,1010
LaMarcus Aldridge,2018,mvp,0.0,6.0,1010
Jimmy Butler,2018,mvp,0.0,5.0,1010
Stephen Curry,2018,mvp,0.0,5.0,1010
Joel Embiid,2018,mvp,0.0,4.0,1010
Victor Oladipo,2018,mvp,0.0,2.0,1010
Ben Simmons,2018,roy,90.0,481.0,505
Donovan Mitchell,2018,roy,11.0,323.0,505
Jayson Tatum,2018,roy,0.0,101.0,505
Kyle Kuzma,2018,roy,0.0,3.0,505
Dennis Smith,2018,roy,0.0,1.0,505
Rudy Gobert,2018,dpoy,89.0,466.0,505
Joel Embiid,2018,dpoy,2.0,163.0,505
Anthony Davis,2018,dpoy,5.0,139.0,505
Paul George,2018,dpoy,2.0,38.0,505
Al Horford,2018,dpoy,1.0,37.0,505
Draymond Green,2018,dpoy,1.0,20.0,505
Jrue Holiday,2018,dpoy,1.0,11.0,505
Robert Covington,2018,dpoy,0.0,8.0,505
Kevin Durant,2018,dpoy,0.0,7.0,505
Jaylen Brown,2018,dpoy,0.0,5.0,505
Klay Thompson,2018,dpoy,0.0,4.0,505
Steven Adams,2018,dpoy,0.0,3.0,505
Jimmy Butler,2018,dpoy,0.0,3.0,505
Clint Capela,2018,dpoy,0.0,2.0,505
Andre Drummond,2018,dpoy,0.0,1.0,505
Jusuf Nurkić,2018,dpoy,0.0,1.0,505
Victor Oladipo,2018,dpoy,0.0,1.0,505
Lou Williams,2018,smoy,97.0,495.0,505
Eric Gordon,2018,smoy,3.0,246.0,505
Fred VanVleet,2018,smoy,1.0,64.0,505
Will Barton,2018,smoy,0.0,62.0,505
Wayne Ellington,2018,smoy,0.0,9.0,505
Kelly Olynyk,2018,smoy,0.0,7.0,505
Jordan Clarkson,2018,smoy,0.0,5.0,505
Nikola Mirotić,2018,smoy,0.0,5.0,505
Kyle Kuzma,2018,smoy,0.0,4.0,505
Terry Rozier,2018,smoy,0.0,3.0,505
Dwyane Wade,2018,smoy,0.0,3.0,505
J.J. Barea,2018,smoy,0.0,1.0,505
Marco Belinelli,2018,smoy,0.0,1.0,505
Rodney Hood,2018,smoy,0.0,1.0,505
Luc Mbah a Moute,2018,smoy,0.0,1.0,505
Jakob Poeltl,2018,smoy,0.0,1.0,505
Tomáš Satoranský,2018,smoy,0.0,1.0,505
Victor Oladipo,2018,mip,99.0,499.0,505
Clint Capela,2018,mip,1.0,99.0,505
Spencer Dinwiddie,2018,mip,1.0,50.0,505
Andre Drummond,2018,mip,0.0,46.0,505
Julius Randle,2018,mip,0.0,36.0,505
Steven Adams,2018,mip,0.0,34.0,505
Jaylen Brown,2018,mip,0.0,32.0,505
Jamal Murray,2018,mip,0.0,24.0,505
DeMar DeRozan,2018,mip,0.0,9.0,505
Terry Rozier,2018,mip,0.0,8.0,505
Lou Williams,2018,mip,0.0,8.0,505
Giannis Antetokounmpo,2018,mip,0.0,7.0,505
Nikola Jokić,2018,mip,0.0,6.0,505
E'Twaun Moore,2018,mip,0.0,6.0,505
Domantas Sabonis,2018,mip,0.0,6.0,505
Fred VanVleet,2018,mip,0.0,6.0,505
Tyreke Evans,2018,mip,0.0,4.0,505
Brandon Ingram,2018,mip,0.0,4.0,505
Dejounte Murray,2018,mip,0.0,4.0,505
Tobias Harris,2018,mip,0.0,3.0,505
Joe Ingles,2018,mip,0.0,3.0,505
Dario Šarić,2018,mip,0.0,3.0,505
Kris Dunn,2018,mip,0.0,2.0,505
Aaron Gordon,2018,mip,0.0,2.0,505
Montrezl Harrell,2018,mip,0.0,1.0,505
Kristaps Porziņģis,2018,mip,0.0,1.0,505
Taurean Prince,2018,mip,0.0,1.0,505
Josh Richardson,2018,mip,0.0,1.0,505
Ricky Rubio,2018,mip,0.0,1.0,505
Pascal Siakam,2018,mip,0.0,1.0,505
