,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
143,Mark Wade,1988,22,GSW,PG,11,0.0,123.0,3,20,0.15,0.0,2.0,0.0,3,18,0.16699999999999998,0.15,2,4,0.5,3.0,12.0,15.0,34,7.0,1.0,13.0,13,8,0.0,1.0,0.0,,0.0,0.0,80.0
145,Von Wafer,2006,20,LAL,SG,16,0.0,73.0,6,38,0.158,2.0,17.0,0.11800000000000001,4,21,0.19,0.184,6,8,0.75,5.0,3.0,8.0,4,3.0,0.0,1.0,12,20,0.0,1.0,0.0,,0.0,0.0,625.0
152,Dajuan Wagner,2003,19,CLE,SG,47,24.0,1385.0,223,605,0.369,55.0,174.0,0.316,168,431,0.39,0.414,128,160,0.8,20.0,62.0,82.0,130,38.0,7.0,85.0,107,629,0.0,1.0,0.5106382978723404,,0.0,0.0,585.0
157,Milt Wagner,1988,24,LAL,SG,40,4.0,380.0,62,147,0.42200000000000004,2.0,10.0,0.2,60,137,0.43799999999999994,0.429,26,29,0.897,4.0,24.0,28.0,61,6.0,4.0,22.0,42,152,0.0,1.0,0.1,,0.0,0.0,80.0
159,Moritz Wagner,2019,21,LAL,C,43,5.0,446.0,71,171,0.415,22.0,77.0,0.28600000000000003,49,94,0.521,0.48,43,53,0.8109999999999999,17.0,68.0,85.0,24,11.0,13.0,39.0,57,207,0.0,1.0,0.11627906976744186,,0.0,0.0,500.0
162,Dion Waiters,2013,21,CLE,SG,61,48.0,1756.0,336,815,0.41200000000000003,63.0,203.0,0.31,273,612,0.446,0.451,159,213,0.746,22.0,127.0,149.0,183,59.0,16.0,121.0,113,894,0.0,1.0,0.7868852459016393,roy,0.0,21.0,605.0
170,Granville Waiters,1984,23,IND,C,78,8.0,1040.0,123,238,0.517,0.0,1.0,0.0,123,237,0.519,0.517,31,51,0.608,64.0,163.0,227.0,60,24.0,85.0,65.0,164,277,0.0,1.0,0.10256410256410256,,0.0,0.0,76.0
175,Andre Wakefield,1979,24,CHI DET ,SG,73,N/A,586.0,62,177,0.35,N/A,N/A,N/A,62,177,0.35,0.35,48,69,0.696,25.0,51.0,76.0,70,19.0,2.0,73.0,70,172,0.0,1.0,N/A,,0.0,0.0,66.0
177,Neal Walk,1970,21,PHO,C,82,N/A,1394.0,257,547,0.47,0.0,0.0,0.0,257,547,0.47,0.47,155,242,0.64,N/A,N/A,455.0,80,N/A,N/A,N/A,225,669,0.0,1.0,N/A,,0.0,0.0,78.0
185,Andy Walker,1977,21,NOJ,SF,40,N/A,438.0,72,156,0.462,0.0,0.0,0.0,72,156,0.462,0.462,36,47,0.7659999999999999,23.0,52.0,75.0,32,20.0,7.0,N/A,59,180,0.0,1.0,N/A,,0.0,0.0,66.0
186,Antoine Walker,1997,20,BOS,PF,82,68.0,2970.0,576,1354,0.425,52.0,159.0,0.327,524,1195,0.43799999999999994,0.445,231,366,0.631,288.0,453.0,741.0,262,105.0,53.0,230.0,271,1435,2.0,1.0,0.8292682926829268,roy,6.0,6.0,115.0
214,Darrell Walker,1984,22,NYK,PG,82,0.0,1324.0,216,518,0.41700000000000004,4.0,15.0,0.267,212,503,0.42100000000000004,0.42100000000000004,208,263,0.7909999999999999,74.0,93.0,167.0,284,127.0,15.0,194.0,202,644,0.0,1.0,0.0,,0.0,0.0,76.0
224,Foots Walker,1975,23,CLE,PG,72,N/A,1070.0,111,275,0.40399999999999997,N/A,N/A,N/A,111,275,0.40399999999999997,0.40399999999999997,80,117,0.684,47.0,99.0,146.0,192,80.0,7.0,N/A,126,302,1.0,1.0,N/A,,0.0,0.0,18.0
234,Henry Walker,2009,21,BOS,SF,29,0.0,216.0,36,58,0.621,0.0,1.0,0.0,36,57,0.632,0.621,16,23,0.696,8.0,21.0,29.0,13,6.0,2.0,18.0,51,88,0.0,1.0,0.0,,0.0,0.0,600.0
240,Jimmy Walker,1968,23,DET,SG,81,N/A,1585.0,289,733,0.39399999999999996,0.0,0.0,0.0,289,733,0.39399999999999996,0.39399999999999996,134,175,0.7659999999999999,N/A,N/A,135.0,226,N/A,N/A,N/A,204,712,0.0,1.0,N/A,,0.0,0.0,79.0
249,Kemba Walker,2012,21,CHA,PG,66,25.0,1792.0,281,767,0.366,69.0,226.0,0.305,212,541,0.392,0.41100000000000003,168,213,0.789,30.0,204.0,234.0,289,60.0,20.0,119.0,79,799,1.0,1.0,0.3787878787878788,roy,0.0,3.0,600.0
259,Kenny Walker,1987,22,NYK,SF,68,64.0,1719.0,285,581,0.491,0.0,4.0,0.0,285,577,0.494,0.491,140,185,0.757,118.0,220.0,338.0,75,49.0,49.0,75.0,236,710,0.0,1.0,0.9411764705882353,,0.0,0.0,78.0
266,Lonnie Walker,2019,20,SAS,SG,17,0.0,118.0,16,46,0.348,5.0,13.0,0.385,11,33,0.33299999999999996,0.402,8,10,0.8,0.0,17.0,17.0,9,7.0,3.0,4.0,7,45,0.0,1.0,0.0,,0.0,0.0,500.0
269,Phil Walker,1978,21,WSB,SG,40,N/A,384.0,57,161,0.354,0.0,0.0,0.0,57,161,0.354,0.354,64,96,0.667,21.0,31.0,52.0,54,14.0,5.0,62.0,39,178,0.0,1.0,N/A,,0.0,0.0,66.0
270,Samaki Walker,1997,20,DAL,PF,43,12.0,602.0,83,187,0.444,0.0,1.0,0.0,83,186,0.446,0.444,48,74,0.649,47.0,100.0,147.0,17,15.0,22.0,39.0,71,214,0.0,1.0,0.27906976744186046,,0.0,0.0,115.0
280,Wally Walker,1977,22,POR,SF,66,N/A,627.0,137,305,0.449,N/A,N/A,N/A,137,305,0.449,0.449,67,100,0.67,45.0,63.0,108.0,51,14.0,2.0,N/A,92,341,0.0,1.0,N/A,,0.0,0.0,66.0
288,John Wall,2011,20,WAS,PG,69,64.0,2606.0,398,972,0.409,34.0,115.0,0.29600000000000004,364,857,0.425,0.42700000000000005,301,393,0.7659999999999999,35.0,282.0,317.0,574,121.0,35.0,261.0,175,1131,1.0,1.0,0.927536231884058,roy,0.0,295.0,590.0
298,Ben Wallace,1997,22,WSB,PF,34,0.0,197.0,16,46,0.348,0.0,0.0,N/A,16,46,0.348,0.348,6,20,0.3,25.0,33.0,58.0,2,8.0,11.0,18.0,27,38,0.0,1.0,0.0,,0.0,0.0,115.0
314,Gerald Wallace,2002,19,SAC,SF,54,1.0,430.0,75,175,0.429,0.0,7.0,0.0,75,168,0.446,0.429,23,46,0.5,49.0,40.0,89.0,27,19.0,6.0,22.0,46,173,0.0,1.0,0.018518518518518517,,0.0,0.0,126.0
328,John Wallace,1997,22,NYK,SF,68,6.0,787.0,122,236,0.517,2.0,4.0,0.5,120,232,0.517,0.521,79,110,0.718,51.0,104.0,155.0,37,21.0,25.0,76.0,102,325,0.0,1.0,0.08823529411764706,,0.0,0.0,115.0
335,Rasheed Wallace,1996,21,WSB,PF,65,51.0,1788.0,275,565,0.48700000000000004,27.0,82.0,0.32899999999999996,248,483,0.513,0.511,78,120,0.65,93.0,210.0,303.0,85,42.0,54.0,103.0,206,655,0.0,1.0,0.7846153846153846,,0.0,0.0,113.0
351,Tyrone Wallace,2018,23,LAC,PG,30,19.0,851.0,110,247,0.445,10.0,40.0,0.25,100,207,0.483,0.466,61,78,0.782,21.0,84.0,105.0,71,27.0,13.0,46.0,83,291,0.0,1.0,0.6333333333333333,,0.0,0.0,505.0
354,Dwight Waller,1969,23,ATL,N/A,11,N/A,29.0,2,9,0.222,N/A,N/A,N/A,2,9,0.222,0.222,3,7,0.429,N/A,N/A,10.0,1,N/A,N/A,N/A,8,7,0.0,1.0,N/A,,0.0,0.0,78.0
